thisN,thisTrialN,thisRepN,ID,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,response.keys,response.corr,BlockLoop_Run1.thisRepN,BlockLoop_Run1.thisTrialN,BlockLoop_Run1.thisN,BlockLoop_Run1.thisIndex,TrialLoop_Run1.thisRepN,TrialLoop_Run1.thisTrialN,TrialLoop_Run1.thisN,TrialLoop_Run1.thisIndex,thisRow.t,notes,TitlePage.started,Continue.started,NbackTitle.started,TitlePage.stopped,Continue.keys,Continue.rt,Continue.duration,Instructions.started,Continue_2.started,Instruction.started,Instructions.stopped,Continue_2.keys,Continue_2.rt,Continue_2.duration,Instructions_2.started,Continue_3.started,Instruction_2.started,Target.started,TargetImage.started,Instructions_2.stopped,Continue_3.keys,Continue_3.rt,Continue_3.duration,Instructions_3.started,Continue_4.started,Instruction_3.started,Green_Border.started,Image_2Back.started,Image_1Back.started,Image_ToMatch.started,LEFTSIDESCREEN_CAPTION.started,RIGHTSIDESCREEN_CAPTION.started,Instructions_3.stopped,Continue_4.keys,Continue_4.rt,Continue_4.duration,Instructions_4.started,Continue_5.started,Instruction_4.started,Instructions_4.stopped,Continue_5.keys,Continue_5.rt,Continue_5.duration,Instructions_5.started,Continue_6.started,Instruction_5.started,Instructions_5.stopped,Continue_6.keys,Continue_6.rt,Continue_6.duration,Waiting4Scanner.started,Continue_7.started,Scanner_Instruction.started,Waiting4Scanner.stopped,Continue_7.keys,Continue_7.rt,Continue_7.duration,CueFix_Run1.started,Cue_Fix.started,CueFix_Run1.stopped,Cue2Back.started,Cue_2Back.started,Cue2Back.stopped,Cue0Back.started,Cue0Back.stopped,Stim.started,StimulusImage.started,LeftScreenResponse.started,RightScreenResponse.started,response.started,Stim.stopped,TrialLoop_Run1.response.keys,TrialLoop_Run1.response.corr,correctKey,pressedKey,accuracy,RT,date,time,version,run,block,id,stimulus,stimType,Fix.started,End_Fix.started,End_Fix.stopped,Fix.stopped,Please enter the Subject ID:,Please enter the Session Number:,Enter subject's handedness:,Please select version:,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.016291375271975994,0.06044441740959883,0.06044441740959883,1.1841829167678952,space,0.9524935409426689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1854275418445468,1.198712750338018,1.198712750338018,1.6283412082120776,space,0.42166558280587196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.631933375261724,1.6517079584300518,1.6517079584300518,1.6517079584300518,1.6517079584300518,1.946463250555098,space,0.28399320784956217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.949419166892767,1.973131375387311,1.973131375387311,1.973131375387311,1.973131375387311,1.973131375387311,1.973131375387311,1.973131375387311,1.973131375387311,2.140144458040595,space,0.16485758125782013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.141613875515759,2.1537203332409263,2.1537203332409263,2.4872153755277395,space,0.3320683753117919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48944004252553,2.5044112084433436,2.5044112084433436,2.823464292101562,space,0.3105029156431556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8250540420413017,2.8415238754823804,2.8415238754823804,3.900641167536378,t,1.0503364987671375,None,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
0,0,0,1,1,VM Stimuli/23M_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,0,0,0,0,0,0,0,0,4.438840082846582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.902502791956067,3.9188492922112346,4.40759408287704,4.426688125357032,4.438840082846582,6.888022417202592,6.9607415003702044,6.960810292512178,6.966658833436668,6.981742417439818,6.981742417439818,6.981742417439818,6.981742417439818,8.96286195795983,None,0,2,NA,NA,NA,2026-01-20_12h39.41.659,12:40:01,1,1,0,1,VM Stimuli/23M_HO.bmp,PosFace,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
0,0,0,1,1,VM Stimuli/23M_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,8.963649082928896,8.974443292245269,9.498396582901478,9.459400583058596,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
1,1,0,2,1,VM Stimuli/12F_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,0,0,0,0,0,1,1,1,9.498396582901478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.460077750496566,,9.460099625401199,9.48358462471515,9.483618542551994,9.486471666954458,9.498396582901478,9.498396582901478,9.498396582901478,9.498396582901478,11.486666583456099,None,0,2,NA,NA,NA,2026-01-20_12h39.41.659,12:40:04,1,1,0,2,VM Stimuli/12F_HO.bmp,PosFace,,,,,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
1,1,0,2,1,VM Stimuli/12F_HO.bmp,nonlure,nontarget,PosFace,2-Back,None,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20_12h39.41.659,,,,,,,,11.487458208575845,11.497837250120938,12.037233792245388,11.98271566722542,543211,2,Right,1,2026-01-20_12h39.41.659,EmoNback_Behavioral,,2025.1.1,93.0539846608947,2026-01-20 12h39.52.651741 -0600,
2,2,0,3,1,VM Stimuli/AF02_HO.bmp,nonlure,nontarget,PosFace,2-Back,,,,,,,0,2,2,2,12.037233792245388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.983600417152047,,11.983651041984558,12.020469833165407,12.020517917349935,12.025032583624125,12.037233792245388,12.037233792245388,12.037233792245388,12.037233792245388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
